contig,gene,intron,conf,strand
1,969.527272727,121.6,98.844,0.6
2,870.2,89.65,99.9635,0.8
3,823.931818182,45.0454545455,99.9384090909,0.977272727273
5,1233.5,236.75,99.99,0.75
6,1220.89552239,137.089552239,98.3792537313,0.731343283582
8,955.846153846,203.051282051,96.9542307692,0.782051282051
9,895.7,26.225,98.125,0.875
10,900.466666667,100.6,98.3588888889,0.955555555556
11,1028.33870968,132.887096774,99.9493548387,0.612903225806
12,1051.63265306,108.959183673,99.5781632653,0.775510204082
15,862.368421053,167.021052632,98.2893684211,0.642105263158
16,894.891304348,166.282608696,98.4402173913,0.728260869565
19,867.6875,60.6458333333,99.4604166667,0.854166666667
21,1727.975,91.675,99.996,1.0
22,958.764705882,289.62745098,99.5443137255,0.843137254902
23,1030.51351351,215.054054054,95.4772972973,0.648648648649
24,1138.70967742,141.064516129,99.8622580645,0.612903225806
25,880.0,83.6875,98.961875,0.854166666667
26,1052.19354839,260.322580645,98.6748387097,0.677419354839
27,974.328767123,187.547945205,99.5635616438,0.671232876712
28,1037.97058824,110.882352941,99.8305882353,0.852941176471
30,984.443037975,125.417721519,99.567721519,0.746835443038
31,815.97826087,99.4565217391,97.4458695652,0.760869565217
32,1163.87272727,142.363636364,99.7647272727,0.654545454545
33,909.270588235,137.341176471,99.43,0.694117647059
35,1129.78947368,149.140350877,98.8119298246,0.649122807018
36,837.256756757,127.527027027,98.9767567568,0.648648648649
40,946.428571429,193.761904762,99.7530952381,0.666666666667
41,987.095238095,96.6984126984,99.9068253968,0.825396825397
43,1025.72727273,108.015151515,98.236969697,0.681818181818
44,611.12,46.6,99.0188,1.0
46,693.421052632,207.973684211,98.2263157895,0.421052631579
48,907.322580645,216.709677419,97.4383870968,0.516129032258
49,930.277777778,223.944444444,99.2787037037,0.685185185185
50,742.55,135.425,99.6675,0.85
53,900.230769231,135.371794872,99.2185897436,0.717948717949
54,909.727272727,128.818181818,99.4063636364,0.848484848485
55,916.16,10.04,99.9212,0.72
57,779.541666667,109.75,97.71375,0.861111111111
66,845.558139535,247.906976744,98.48,0.651162790698
68,953.257142857,89.6857142857,98.9928571429,0.857142857143
69,509.681818182,205.181818182,91.5827272727,0.590909090909
70,912.909090909,179.454545455,98.72,0.909090909091
71,1016.2,99.4666666667,98.8415555556,0.688888888889
75,848.903614458,133.674698795,98.9610843373,0.710843373494
78,1036.69230769,106.166666667,99.8052564103,0.653846153846
79,944.083333333,111.75,99.9972222222,0.694444444444
81,988.466666667,168.711111111,98.0506666667,0.644444444444
82,980.3,178.05,99.26675,0.725
83,1024.60869565,74.0144927536,99.6343478261,0.797101449275
84,967.693877551,155.673469388,98.1244897959,0.65306122449
85,900.65625,124.385416667,98.1186458333,0.791666666667
86,1190.046875,213.625,97.68203125,0.640625
87,851.428571429,118.885714286,99.9871428571,0.942857142857
89,835.710843373,21.7951807229,98.9680722892,0.831325301205
90,949.015625,169.28125,99.10703125,0.578125
91,1043.39473684,183.210526316,99.7805263158,0.842105263158
92,1067.04166667,143.555555556,99.2041666667,0.694444444444
93,903.32,99.36,99.902,0.84
94,938.511363636,71.9772727273,99.4072727273,0.75
95,920.107142857,181.797619048,98.405952381,0.833333333333
97,1002.79166667,247.083333333,99.0440277778,0.597222222222
99,958.137931034,110.436781609,99.1094252874,0.586206896552
100,892.142857143,59.2653061224,97.7040816327,0.632653061224
103,857.931034483,146.293103448,98.6172413793,0.827586206897
106,1611.14285714,43.5714285714,99.9919047619,0.857142857143
107,636.86,136.52,97.9128,0.64
111,962.363636364,215.575757576,99.3177272727,0.742424242424
113,766.142857143,119.628571429,98.6011428571,0.828571428571
115,668.469879518,74.6987951807,99.1471084337,0.807228915663
117,925.922077922,78.6493506494,99.827012987,0.649350649351
119,921.327868852,63.8524590164,99.4078688525,1.0
122,833.253012048,64.7108433735,99.2573493976,0.542168674699
123,839.166666667,108.583333333,99.2333333333,0.888888888889
124,788.886363636,242.25,97.555,0.886363636364
126,1017.56,168.46,99.8962,0.7
127,925.571428571,140.595238095,99.8676190476,0.619047619048
129,1051.82857143,200.942857143,98.1777142857,0.685714285714
130,1323.62857143,108.457142857,98.8062857143,0.771428571429
131,782.5,48.6428571429,99.8692857143,0.690476190476
135,832.393258427,92.1011235955,97.0513483146,0.640449438202
141,937.12195122,95.1219512195,98.6343902439,0.80487804878
142,1044.35714286,89.9404761905,99.7314285714,0.690476190476
144,872.831683168,78.702970297,99.826039604,0.762376237624
146,925.594594595,79.7027027027,99.8635135135,0.837837837838
151,998.5,253.266666667,98.2063333333,0.566666666667
153,905.947368421,96.2807017544,98.7114035088,0.719298245614
156,1037.20689655,83.8275862069,99.4675862069,0.747126436782
