contig,gene,intron,conf,strand
gi|41179361|ref|NC_005357.1|,826.510204082,24.4285714286,98.2457142857,0.938775510204
gi|460042674|ref|NC_020486.1|,794.0,54.8308457711,95.321840796,0.960199004975
gi|460042095|ref|NC_020479.1|,567.367088608,47.4810126582,96.357721519,0.924050632911
gi|428782664|ref|NC_019721.1|,657.909090909,58.3272727273,98.1098181818,0.854545454545
gi|126010934|ref|NC_009015.1|,573.725663717,64.0265486726,96.6132743363,0.920353982301
gi|30387379|ref|NC_004775.1|,811.522727273,74.1818181818,98.8602272727,0.818181818182
gi|109302896|ref|NC_008193.1|,623.15,79.7,97.3035,0.875
gi|609216850|ref|NC_022768.1|,704.452261307,59.1507537688,98.5445728643,0.899497487437
gi|225626377|ref|NC_012419.1|,819.043478261,86.2608695652,98.5991304348,0.95652173913
gi|195982531|ref|NC_011132.1|,681.285714286,149.619047619,99.0485714286,0.714285714286
gi|593778954|ref|NC_023727.1|,661.242105263,52.6315789474,98.3592631579,0.884210526316
gi|526178330|ref|NC_021804.1|,612.363636364,29.4090909091,97.8672727273,1.0
gi|157265294|ref|NC_009803.1|,720.816513761,41.1926605505,97.5741284404,0.97247706422
gi|448260273|ref|NC_020079.1|,509.06741573,43.3520599251,97.3217602996,0.962546816479
gi|318065901|ref|NC_014900.1|,572.619047619,53.9047619048,95.4434920635,0.825396825397
gi|472437676|ref|NC_020876.1|,528.550561798,50.1123595506,98.5661797753,0.977528089888
gi|448260223|ref|NC_020078.1|,851.466666667,42.5333333333,98.3042222222,1.0
gi|418487912|ref|NC_019448.1|,596.948113208,60.8254716981,99.1052358491,0.985849056604
gi|543170398|ref|NC_022324.1|,532.472527473,44.9120879121,97.0036263736,0.989010989011
gi|593778237|ref|NC_023721.1|,531.625,31.2604166667,95.6679166667,0.927083333333
gi|658310528|ref|NC_024358.1|,955.1,61.5,95.952,0.95
gi|712915757|ref|NC_025462.1|,583.16,75.3066666667,96.3729333333,0.98
gi|281416323|ref|NC_013646.1|,562.360655738,46.3114754098,97.2936065574,0.901639344262
gi|509141934|ref|NC_021346.1|,633.915178571,67.9151785714,98.380625,0.973214285714
gi|422936640|ref|NC_019522.1|,702.171875,50.796875,98.1528125,0.953125
gi|29165635|ref|NC_002072.2|,732.071428571,83.3333333333,97.41,1.0
gi|456351021|ref|NC_020414.1|,740.166666667,55.7592592593,94.5340740741,0.981481481481
gi|9633494|ref|NC_000929.1|,649.5,26.537037037,98.2881481481,0.888888888889
gi|48696638|ref|NC_005879.1|,803.466666667,55.8666666667,98.2822222222,0.977777777778
gi|682123813|ref|NC_024790.1|,778.788235294,59.4941176471,98.08,0.952941176471
gi|9634155|ref|NC_002167.1|,595.689655172,77.7931034483,96.6286206897,0.931034482759
gi|557478762|ref|NC_022761.1|,592.887323944,91.4366197183,97.9170422535,0.957746478873
gi|609252716|ref|NC_023747.1|,598.637362637,53.1868131868,98.9215384615,0.956043956044
gi|47777280|ref|NC_005263.2|,637.149253731,65.6567164179,97.3025373134,0.925373134328
gi|326783215|ref|NC_015285.1|,816.899497487,55.9095477387,97.2342713568,0.979899497487
